"Candidate_ID","Name_EN","Name_AR_KU","Email","Phone","LinkedIn","Facebook","Twitter","Instagram","TikTok","Other_Social","SourceFile"
"3ddef152-03ad-40c7-bba6-95b39fad2163","Accommodation 1 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\accommodation.csv"
"01f73eaf-3325-4bc9-ace6-2b8300d5ca54","Accommodation 2 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\accommodation.csv"
"3a0413ac-24b3-430c-89bc-5c18599ae38f","Accommodation 3 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\accommodation.csv"
"ff73640a-7350-447d-85f5-1d2ccc6e8ee6","Accommodation 4 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\accommodation.csv"
"3f5099b2-d150-4fd5-a732-cdf7f10dddc7","Accommodation 5 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\accommodation.csv"
"3275b724-d4f8-412d-9dde-6dc1b48e611f","Cafe & Restaurants 1 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\cafe-restaurants.csv"
"f8e7b599-71e4-4ebc-acc4-6879ce7f7bb9","Cafe & Restaurants 2 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\cafe-restaurants.csv"
"36f44424-d705-49fb-8c3f-24c903d27de6","Cafe & Restaurants 3 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\cafe-restaurants.csv"
"18e6eeb5-bfe6-4522-b71d-cc32abc1957a","Cafe & Restaurants 4 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\cafe-restaurants.csv"
"85a85910-1b55-4580-bb36-dda5d6ee4335","Cafe & Restaurants 5 - Baghdad",,"","+9647901234567",,,,,,,"E:\HamletUnified\full_consolidation\missinggold_fresh_structure\missinggold-fresh\archive\eventra-saas\data\iraq-discovery-exports\batch-1-baghdad\cafe-restaurants.csv"
